	EN	FR	NL	DA	ES	UK	RU	DE	KO	FI	SE
pin_thread	Pin thread to home	Épingler la conversation sur l\'écran d\'accueil	Zet draad vast op home	Fastgør tråd til home	Anclar hilo en inicio	Закріпити тему на головній	Закрепить тему на главной	Thread oben anheften	글타래를 홈에 고정		
please_select	Please select	Sélectionner	Selecteer a.u.b.	Vælg venligst	Por favor selecciona	Будь ласка виберіть	Пожалуйста, выберите	Bitte auswählen	선택하세요		
post	Post	Poster	Post	Post	Post	Відіслати	Отправить	Post	글		
post_appearance_header	POST APPEARANCE	APPARENCE DU POST	POST UITERLIJK	POST UDSEENDE	APARIENCIA DEL POST	ЗОВНІШНІЙ ВИД ПОВІДОМЛЕНЬ	ВНЕШНИЙ ВИД СООБЩЕНИЙ	BEITRAGSDARSTELLUNG	글 생김새		
post_delete_success	Post successfully deleted	Post supprimé avec succès	Post succesvol verwijderd	Post slettet succesfuldt	Se ha borrado el post	Повідомлення успішно видалено	Сообщение успешно удалено	Post erfolgreich gelöscht	글을 성공적으로 지웠습니다.		
post_fail	An error occurred when posting. Post saved to drafts, tap to resend.	Une erreur est survenue lors de l\'envoi du post. Post enregistré dans les brouillons, toucher pour réenvoyer	Er is een fout opgetreden tijdens het posten. Post is opgeslagen onder ontwerpen, tik op opnieuw te versturen.	En fejl opstod ved afsendelse. Post er gemt i klader, tryk for at prøve igen.	Ha ocurrido un error al enviar el post. Se ha guardado como borrador; toca para reenviarlo.	При відправці повідомлення сталася помилка. Пост збережений в чернетках, натисніть для повторного відправлення.	При отправке сообщения произошла ошибка. Пост сохранен в черновиках, нажмите для повторной отправки.	Es ist ein Fehler aufgetreten beim Senden. Der Post wurde unter Entwürfe abgelegt. Tippen für neuen Versuch	글을 전송하지 못했습니다. 대신 임시함에 저장했고요, 지금 여길 탭하면 다시 전송합니다.		
post_message	Post message	Message du post	Post bericht	Post besked	Mensaje del post	Опублікувати повідомлення	Опубликовать сообщение	Nachricht posten	메시지 작성		
post_replies	replies	réponses	antwoorden	svar	Respuestas	Відповіді	Ответы	Antworten	이 글에 아래와 같은 대답이 달렸습니다:		
post_reply_to	reply to	répondre à	antwoord aan	svar til	Responder	Відповісти на	Ответить на	Antwort an	아래는 위 글에 대한 대답입니다: 		
post_reported	Post successfully reported	Post signalé	Post succesvol gerapporteert	Post anmeldt succesfuldt	Se ha informado del post	Успішно поскаржилися на запис	 Успешно пожаловались на запись	Post erfolgreich gemeldet	글을 성공적으로 신고했습니다.		
post_success	Post successfully sent	Post envoyé avec succès	Post succesvol verzonden	Post sendt succesfuldt	Se ha enviado el post	Повідомлення успішно надіслано	Сообщение успешно отправлено	Post erfolgreich versendet.	글을 성공적으로 보냈습니다!		
posted_by	Posted by:	Posté par:	Gepost door:	Postet af:	Enviado por:	Відправлено за допомогою	Отправлено с помощью	Eingestellt von:	이 사용자에 의해 작성됨:		
preview	Preview	Prévisualiser	Preview	Forhåndsvisning	Previsualización	Предпросмотрт	Предпросмотр	Vorschau	미리보기		
private_messaging	Private Messages	Messages privés	Prive Berichten	Private Beskeder	Mensajes privados	Приватні повідомлення	Личные сообщения	Private Nachrichten	쪽지		
profile	Profile	Profil	Profiel	Profil	Perfil	Профіль	Профиль	Profil	프로필	Profiili	
profile_stats	%s following%s followers%s starred%s posts	%s abonnements%s abonnés%s favoris%s posts	%s volgtg%s volgers%s markeringen%s posts	%s følger%s følgere%s starred%s posts	%s following%s followers%s destacados%s posts	%s читає%s читачів%s в обраному%s записів	%s читает%s читателей%s в избранном%s записей	%s Folgt %s Follower %s Sterne %s Beiträge	%s명을 팔로우%s명의 팔로워%s개의 별표%s개의 글		
profile_updated	Profile successfully updated!	Profil mis à jour avec succès!	Profiel succesvol geupdate!	Profil opdateret succesfuldt	Perfil actualizado con éxito	Профіль вдало оновлений	Профиль успешно обновлен!	Profil erfolgreich aktualisiert!	프로필 정보를 성공적으로 바꿨습니다!		
ptr_pull	Swipe down to refresh	Tirer pour raffraîchir	Veeg naar beneden op te vernieuwen	Stryg nedad for at opdatere	Desliza hacia abajo para recargar	Потягніть вниз для оновлення	Потяните вниз для обновления	Runter wischen zum Aktualisieren	아래쪽으로 문질러 새로 고침		
ptr_refreshing	Refreshing...	Rafraîchissement...	Vernieuwen...	Opdaterer...	Recargando…	Оновлюємо ...	Обновляем...	Aktualisiere...	새로 고치는 중...		
quick_post	Quick post	Post rapide	Snelle post	Hurtig post	Post rápido	Швидка публікація	Быстрая публикация	Schnell-Post	빠른 글쓰기		
quick_post_desc	Enabled the quick post on-going notification	Activé la notification de post rapide en cours	De snelle post notificatie is aangezet	Aktiveret løbende notifikationer for hurtig post	Activar la redacción rápida en las notificaciones en curso	Увімкнути швидку публікацію з панелі повідомлень	Включить быструю публикацию из панели уведомлений	Schnell-Post-Benachrichtigung aktivieren	알림창에서 바로 글을 작성합니다		
quiet_header	QUIET MODE	MODE SILENCIEUX	STILLE MODUS	STILHEDSMODE	MODO SILENCIO	ТИХИЙ РЕЖИМ	ТИХИЙ РЕЖИМ	RUHEMODUS	방해금지 모드		
quiet_hours	Quiet hours	Heures silencieuses	Stille uren	Stille timer	Horas de silencio	Тихі години	Тихие часы	ruhige Stunden	방해금지 시간대		
quiet_mode	Quiet mode	Mode silencieux	Stille modus	Stille mode	Modo silencio	Тихий режим	Тихий режим	Ruhemodus	방해금지 모드		
quiet_mode_summary	Notifications will be silent between	Les notifications seront silencieuses entre	Notificaties zijn stil tussen	Notifikationer vil være stille mellem	Las notificaciones serán silenciadas entre	Повідомлення будуть вимкнені між	Звук уведомлений будет выключен между	Benachrichtigungen werden still sein zwischen	알림이 안 울리는 시간대:		
quiet_summary	Set your custom quiet hours, currently	Choisir vos heures de silence, pour le moment	Stel je stilte uren in, huidig	Sæt dine brugerdefinerede stille timer, nuværende	Configura tus horas de silencio, actualmente	Встановити власні тихі години, в даний час	Установить собственные тихие часы, в настоящее время	Stelle deine ruhigen Stunden ein, aktuell 	알림이 안 울리는 시간대를 설정하세요. 현재 시간대:		
rate_app	Rate app	Noter l\'application	Rate app	Bedøm app	Valorar app	Оцінити	Оценить	Bewerten	앱 평가!		
recent_searches	RECENT SEARCHES	RECHERCHES RÉCENTES	RECENTE ZOEKOPDRACHTEN	SENESTE SØGNINGER	BÚSQUEDAS RECIENTES	Останні пошуки	Последние поиски	LETZTE SUCHEN	최근 검색		
refresh	Refresh	Rafraîchir	Ververs	Genopfrisk	Refrescar	Оновити	Обновить	Aktualisieren	새로 고침		
refresh_timeout	Cache expire	Expiration du cache	Cache vervallen	Udløb af Cache	Tiempo de caché	Термін зберігання кешу до поновлення	Срок хранения кэша до обновления	Ablaufzeit des Cache	캐시 삭제 기한		
remove	Remove	Supprimer	Verwijder	Fjern	Eliminar	Видалити	Удалить	Entfernen	삭제	Poista	
remove_image	Remove image?	Supprimer l\'image?	Verwijder foto?	Fjern billede?	¿Eliminar imagen?	Видалити зображення?	Удалить изображение?	Bild wirklich entfernen?	사진을 삭제하겠습니까?	Poista kuva?	
replies	Replies:	Réponses:	Antwoorden:	Svar:	Respuestas:	Відповіді	Ответы	Antworten:	대답:		
reply	Reply	Répondre	Antwoord	Svar	Respuesta	Відповісти	Ответить	Antworten	대답하기		
reply_from	Reply from @%s	Réponse de @%s	Antwoord van @%s	Svar fra @%s	Respuesta de @%s	Відповідь від @%s	Ответ от @%s	Antwort von @%s	@%s에게 온 대답		
reply_last_post	Reply to last post	Répondre au dernier post	Beantwoord laatste post	Svar til sidste post	Respuesta al último post	Відповісти	Ответить	Letzten Beitrag beantworten	마지막 글에 대답하기		
reply_message	Reply all in message	Répondre à tous dans le message	Reply all in message	Svar alle i besked	Respoder a todos en el mensaje	Відповісти всім в повідомленні	Ответить всем в сообщении	Allen in der Nachricht antworten	쪽지에 있는 모두에게 대답하기		
reply_post	Reply all in post	Répondre à tous dans le post	Reply all in post	Svar alle i post	Responder a todos en el post	Відповісти всім у запису	Ответить всем в записи	Allen im Post antworten	글에 있는 모두에게 대답하기		
reply_thread	Reply all in thread	Répondre à tous dans la conversation	Beantwoord allen in draad	Svar alle i tråd	Respoder a todos en el hilo	Відповісти всім в гілці	Ответить всем в ветке	Allen in der Unterhaltung antworten	스레드에 있는 모두에게 대답하기		
reply_to	Reply to \@%s	Répondre à \@%s	Antwoord aan \@%s	Svar til \@%s	Responder a \@%s	Відповісти \@%s	Ответить \@%s	Antworte an \@ %s	\@%s에게 대답하기		
reply_to_message	Reply to message	Répondre au message	Beantwoord bericht	Svar til besked	Responder al mensaje	Відповісти на повідомлення	Ответить на сообщение	Auf Nachricht antworten	쪽지에 대답하기		
replying_to	Replying to \@%s&#8230;	Réponse à \@%s en cours&#8230;	Antwoorden aan \@%s&#8230;	Svarer til \@%s&#8230;	Respondiendo a \@%s&#8230;	Відповідаємо \@%s#8230;	Отвечаем \@%s&#8230;	Antworte an \@ %s...	\@%s에게 대답 중		
report	Report	Signaler	Rapporteer	Anmeld	Notificar	Поскаржитися	Пожаловаться	Melden	신고하기		
repost	Repost \@%s	Reposter \@%s	Repost \@%s	Repost \@%s	Reenviar \@%s	Поділитися \@%s	Поделиться \@%s	Repost \@ %s	리포스트 \@%s		
repost_failure	Failed to repost.	Erreur lors de l\'envoi du repost.	Mislukt om te reposten.	Repost mislykkedes	No se pudo reenviar	Помилка при перепис	Ошибка при перепосте.	Repost fehlgeschlagen.	리포스트 실패		
repost_post	Repost	Reposter	Repost	Repost	Reenvío	Поділитися	Поделиться	Repost	리포스트		
repost_success	Post successfully reposted	Post reposté avec succés	Post succesvol gerepost	Post reposted succesfuldt	Se ha reenviado el post	Успішно поділилися записом	Успешно поделились записью	Repost erfolgreich	리포스트 성공!		
repost_title	Repost	Reposter	Repost	Repost	Reenviar	Поділитися	Поделиться	Repost	리포스트		
reposted_by	Reposted by	Reposté par	Reposted door	Reposted af	Reenviado por	Переслано	Репост от	Reposted von	리포스트됨		
reposting	Reposting post&#8230;	Repost en cours&#8230;	Reposting post&#8230;	Reposting post&#8230;	Reenviando post&#8230;	Ділимося записом#8230;	Делимся записью&#8230;	Reposte Post...	리포스트 중...		
reposting_title	Reposting post	Repost en cours	Reposting post	Reposting post	Reenviando post	Ділимося записом	Делимся записью	Reposte Post	리포스트 중		
reposts	Reposts:	Reposts:	Reposts:	Reposts:	Reenvíos:	Поділилися:	Поделились:	Reposts:	리포스트:		
request_timeout	Request timeout	Requête expirée	Verzoek timeout	Efterspørg timeout	Tiempo de espera	Час очікування запиту	Время ожидания запроса	Zeitüberschreitung	연결 타임아웃		
restart_required_desc	You have changed some settings that require a restart. Do that now?	Vous avez modifié des paramètres qui necessitent un redémarrage. Redémarrer maintenant ?	Je hebt een aantal instellingen aangepast waarvoor opnieuw moet worden gestart. Wil je dit nu doen?	Du har ændret nogle indstillinger der kræver en genstart. Vil du gøre det nu?	Se han modificado los ajustes y es necesario reiniciar. ¿Quieres continuar?	Ви змінили деякі налаштування, які вимагають перезапуск. Здійснити його зараз?  	Вы изменили некоторые настройки, которые требуют перезапуск. Осуществить его сейчас?	Du hast Einstellungen geändert, die einen Neustart erfordern. Möchtest du jetzt neustarten?	방금 변경한 설정은 앱을 재시작해야 제대로 적용됩니다. 지금 재시작할까요?		
restart_required_title	Restart required	Redémarrage necessaire	Opnieuw starten is nodig	Genstart påkrævet	Es necesario reiniciar	Потрібен перезапуск	Требуется перезапуск	Neustart erfordert	재시작 필요		
save	Save	Sauvegarder	Opslaan	Gem	Guardar	Зберегти	Сохранить	Speichern	저장하기	Tallenna	
save_hashtag	Save hashtag	S\'abonner au hashtag	Sla hashtag op	Gem hashtag	Guardar hashtag	Зберегти тег	Сохранить тег	Hashtag speichern	해시태그 저장하기	Tallenna hashtag	
save_image	Save Image	Enregistrer l\'image	Sla foto op	Gem billede	Guardar imagen	Зберегти зображення	Сохранить изображение	Bild speichern	사진 저장하기	Tallenna kuva	
save_to_drafts	Do you wish to save to drafts?	Souhaitez-vous enregistrer dans vos brouillons?	Wil je opslaan onder ontwerpen?	Ønsker du at gemme i klader?	¿Quieres guardarlo como borrador?	Бажаєте зберегти в чернетках?	Хотите сохранить в черновиках?	Möchtest du diesen Post in Entwürfe speichern?	임시 글로 저장하실래요?		
saved_searches	SAVED SEARCHES	RECHERCHES ENREGISTRÉES	OPGESLAGEN ZOEKOPDRACHTEN	GEMTE SØGNINGER	BÚSQUEDAS GUARDADAS	Збережені пошуки	Сохраненные поиски	GESPEICHERTE SUCHEN	저장된 검색	TALLENNETUT HAUT	
search	Search	Chercher	Zoek	Søg	Buscar	Пошук	Поиск	Suchen	검색	Hae	
search_for_tags	Search #tags or \@users	Chercher des #tags ou des \@users	Zoek #tags of \@gebruikers	Søg #tags eller \@brugere	Buscar #tags o \@usuarios	Шукати #тег або \@користувача	Искать #тег или \@пользователя	Suche #tags oder \@Benutzer	#해시태그 또는 \@사용자 검색	Hae #tageja tai \@käyttäjiä	
search_for_tags	Search #tags, \@users, or keywords	Chercher des #tags, des \@users ou des mots-clés	Zoek #tags, \@gebruikers, of trefwoorden	Søg #tags, \@brugere, eller stikord	Busca #tags, \@usuarios o palabras clave	Шукати #тег, \@користувача або ключові слова	Искать #тег, \@пользователя или ключевые слова	Suche #tags, \@Benutzer oder Schlüsselwörter	#해시태그, \@사용자 또는 키워드 검색		
search_users	Search users	Rechercher des utilisateurs	Zoek gebruikers	Søg brugere	Buscar usuarios	Шукати користувачів	Искать пользователей	Benutzer durchsuchen	사용자 검색	Hae käyttäjiä	
searching_for_user	Searching for user	Recherche de l\'utilisateur en cours	Zoeken naar gebruikers	Søger efter bruger	Buscando usuario	Пошук користувачів	Поиск пользователей	Benutzer suchen	사용자 검색 중		
select_account	Select account	Sélectionner un compte	Selecteer account	Vælg konto	Selecciona una cuenta	Вибрати обліковий запис	Выбрать учетную запись	Konto auswählen	계정 선택	Valitse tili	
select_animation_option	Select animations	Choisir les animations	Selecteer animaties	Vælg animationer	Selecciona animaciones	Вибрати анімацію	Выбрать анимации	Animationen auswählen	애니메이션 선택		
select_emphasis_option	Select post emphasis	Choisir l\'amélioration des posts	Selecteer post nadruk	Vælg post fokus	Selecciona el resaltado del post	Вибрати форматований шрифт для повідомлень	Выбрать форматированный шрифт для сообщений	Wähle Post-Hervorhebung	글 강조 선택		
select_link	Select a link	Choisir un lien	Selecteer een link	Vælg et link	Selecciona un link	Вибрати посилання	Выбрать ссылку	Wählen Sie einen Link	링크 선택	Valitse linkki	
select_notification	Select notifications	Sélectionner les notifications	Selecteer notificaties	Vælg notifikationer	Selecciona las notificaciones	Вибрати сповіщеня	Выбрать уведомления	Benachrichtigungen auswählen	알림 선택		
select_picture	Select picture	Choisir une image	Selecteer foto	Vælg billede	Selecciona una imagen	Вибрати зображення	Выбрать изображение	Bild auswählen	사진 선택	Valitse kuva	
select_picture_error	Could not select image	Erreur lors de la selection de l\'image	Kon foto niet selecteren	Kunne ikke vælge billede	No se pudo seleccionar la imagen	Неможливо вибрати зображення	Невозможно выбрать изображение	Konnte Bild nicht auswählen	사진을 선택하지 못했습니다.		
select_tone	Select Tone	Choisir un son	Selecteer Toon	Vælg Tone	Selecciona un Tono	Вибрати тон	Выбрать тон	Wählen Sie eine Farbe	알림음 선택		
select_user	Select user	Sélectionner le destinataire	Selecteer gebruiker	Vælg bruger	Selecciona un usuario	Обрати користувача	Выбрать пользователя	Benutzer auswählen	사용자 선택하기		
send_analytics	Send analytics	Envoyer les stats	Stuur analytics	Send statistiker	Enviar estadísticas	Відправляти звіти	Отправлять отчеты	Statistiken senden	진단 및 사용 내용 보내기		
send_analytics_desc	Send anonymous analytics to make Robin even better	Envoyer des stats anonymes pour rendre Robin encore plus robuste	Stuur anonieme analytics om Robin nog beter te maken	Send anonyme statistiker til at gøre Robin bedre	Enviar estadísticas anónimas para hacer Robin incluso mejor	Відправляти анонімні звіти щоб зробити Robin ще краще	Отправлять анонимные отчеты, чтобы сделать Robin еще лучше	Anonyme Statistiken senden um Robin noch besser zu machen	Robin을 개선하는 데 많은 도움이 될 사용 데이터를 익명으로 보냅니다.		
send_crash	Send crash reports	Envoyer des rapports de crash	Stuur crash rapporten	Send rapport om nedbrud	Enviar informes de error	Відправляти звіти про завершення роботи	Отправлять отчеты о завершении работы	Absturzberichte senden	오류 신고하기		
send_crash_desc	Send reports when crashes happen so they can get fixed (please leave on)	Envoyer des rapports quand l\'application crash pour les corriger dans les prochaines versions (laisser actif svp)	Stuur rappoeren als de app crashed zodat deze kunnen worden opgelost (aub aan laten staan)	Send rapporter når nedbrud sker så de kan blive rettet (lad venligst denne være aktiveret)	Enviar informes cuando sucedan errores para que puedan ser arreglados (por favor, déjalo activado)	Відправляти звіти, коли відбуваються помилки в роботі програми, щоб ми могли їх виправити (будь ласка, залиште включеним)	Отправлять отчеты, когда происходят ошибки в работе программы, чтобы мы могли их исправить (пожалуйста, оставьте включенным)	Berichte senden, wenn ein Absturz passiert, so dass dieser behoben werden kann (bitte an lassen)	오류가 일어날 때 보고합니다 (도움이 많이 되니 켜놓길 바랍니다 :)		
send_developer	Send developer info	Envoyer mes infos aux développeurs	Stuur ontwikkelaar informatie	Send udvikler info	Enviar información de desarrollador	Відправити інформацію розробнику	Отправить информацию разработчику	Infos an den Entwickler senden	개발자에게 정보 보내기		
send_message_fail	Sending message failed	Erreur lors de l\'envoi du message	Sturen bericht mislukt	Sending af besked mislykkedes	El envió del mensaje falló	Помилка при відправці повідомлення	Ошибка при отправке сообщения	Nachricht senden gescheitert	쪽지 발송 실패		
send_post_fail	Sending post failed	Erreur lors de l\'envoi du post	Sturen post mislukt	Sending af post mislykkedes	El envío del post falló	Помилка при відправці записи	Ошибка при отправке записи	Post senden gescheitert	글 발송 실패		
sending	Sending post&#8230;	Envoi du post&#8230;	Versturen post&#8230;	Sender post&#8230;	Enviando post	Надсилання запису#8230;	Отправка записи&#8230;	Sende Post ...	글 발송 중		
sending_message	Sending message&#8230;	Envoi du post en cours&#8230;	Stuurt bericht&#8230;	Sender besked&#8230;	Enviando mensaje&#8230;	Надсилання повідомлення#8230;	Отправка сообщения&#8230;	Nachricht wird gesendet…	쪽지 보내는 중...		
sending_message_title	Sending message	Envoi du message	Stuurt bericht	Sender besked	Enviando mensaje	Відправка повідомлення	Отправка сообщения	Nachricht wird gesendet	쪽지 보내는 중		
sending_post	Sending post&#8230;	Envoi du message en cours&#8230;	Stuurt post&#8230;	Sender post&#8230;	Enviando post&#8230;	Надсилання запису#8230;	Отправка записи&#8230;	Sende Post...	글 보내는 중...		
sending_post_title	Sending post	Envoi du post	Stuurt post	Sender post	Enviando post	Надсилання запису	Отправка записи	Sende Post	글 보내는 중		
set_from_time	Set from time	Choisir l\'heure de fin	Zet tot tijd	Sæt starttidspunkt	Establecer tiempo desde	Установити з	Установить с 	Endzeit einstellen	언제부터요?		
set_to_time	Set to time	Choisir l\'heure de départ	Zet vanaf tijd	Sæt sluttidspunkt	Establecer tiempo hasta	Встановити до	Установить до	Startzeit eintsellen	언제까지요?		
setting_restart_message	This setting will be applied next time the app is restarted	Ce paramètre sera effectif à partir du prochain lancement de l\'application	Deze instelling wordt de volgende keer dat de app opstart toegepast	Denne indstilling vil blive udført næste gang app\'en bliver genstartet	Este ajuste se aplicará cuando se reinicie la aplicación	Зміни будуть застосовані після перезапуску програми	Изменения будут применены после перезапуска приложения	Diese Einstellung wird erst übernommen, wenn die App neugestartet wurde	이 설정은 앱이 재시작할 때 적용됩니다		
settings	Settings	Paramètres	Instellingen	Indstillinger	Ajustes	Налаштування	Настройки	Einstellungen	설정	Asetukset	
shake_refresh	Shake to refresh	Secouer pour rafraichir	Schud om te verversen	Ryst for at genopfriske	Agita para refrescar	Потрясти для поновлення	Потрясти для обновления	Schütteln zum Aktualisieren	흔들어서 새로 고침		
shake_refresh_desc	Shake it baby. Refreshes the current screen on shake.	Secoue-le ! Rafraichis l\'écran courant en secouant	Schud het schatje. Ververs het huidige scherm door te schudden.	Shake it baby. Genopfrisker den pågældende skærm ved rystelse.	Shake it baby. Refresca la pantalla actual al agitar.	Оновлює поточний екран при струшуванні	Обновляет текущий экран при встряхивании	Shake it baby. Aktualisiert die aktuelle Ansicht	쉐키쉐키! 흔들어서 현재 화면을 새로 고칩니다.		
share	Share	Partager	Deel	Del	Compartir	Відіслати	Отправить	Teilen	공유	Jaa	
share_image	Share Image	Partager l\'image	Deel Foto	Del Billede	Compartir Imagen	Поділитися зображенням	Поделиться изображением	Bild teilen	사진 공유하기	Jaa kuva	
share_post	Share Post	Partager le post	Deel Post	Del Post	Compartir Post	Поділитися записом	Поделиться записью	Post teilen	글 공유하기		
share_url	Share link	Partager le lien	Deel link	Del link	Compartir link	Поділитися посиланням	Поделиться ссылкой	Link teilen	링크 공유하기	Jaa linkki	
share_via	Share via	Partager via	Deel via	Del via	Compartir desde	Відправити через	Отправить через	Teilen über	내보내기		
show_animations	Show animations	Activer les animations	Toon animaties	Vis animationer	Mostrar animaciones	Показувати анімацію	Показывать анимацию	Zeige Animationen	애니메이션 보이기	Näytä animaatiot	
show_avatar_images	Show avatars	Afficher les avatars	Toon avatars	Vis avatarer	Mostrar imágenes de perfil	Показувати аватри	Показывать аватары	Zeige Avatare	프로필 사진 보이기		
show_long_dates	Show long dates	Afficher les dates longues	Toon lange datums	Vis lange datoer	Mostrar fechas largas	Показувати довгі дати	Показывать абсолютные даты	Zeige langes Datum	자세한 시간 보이기		
show_non_following	Show non-following mentions in timeline	Montrer les mentions des non-abonnés dans la timeline	Toon opmerkingen die je niet volgt in de tijdslijn	Vis mentions fra folk du ikke følger i din timeline	Mostrar menciones de gente que no sigues en el timeline	Показувати згадки незнайомих людей в особистій стрічці	Показывать упоминания незнакомых людей в личной ленте	Zeige Erwähnungen von nicht-gefolgten in der Timeline	관련 없는 멘션 보이기 (타임라인)		
show_non_following_desc	Show posts mentioning users you don\'t follow in timeline and global	Montrer les posts mentionnant les utilisateurs que vous ne suivez pas dans la timeline et le flux global	 Toon antwoorden gericht aan gebruikers die je niet volgt in de tijdslijn en global	Vis posts omhandlende brugere du ikke følger i din timeline og global	Mostrar posts que mencionan a usuarios que no sigues en el timeline y en el global	Показувати записи, в яких згадуються люди, на яких ви не підписані, в особистій та світовій стрічках	Показывать записи с упоминаниями людей, на которых вы не подписаны, в личной и мировой лентах	Zeige Beiträge, die Benutzer erwähnen, denen du nicht folgst in der Timeline und dem Global-Stream	내가 팔로우하지 않은 사람을 멘션하는 글도 전체 및 개인 타임라인에 보여줍니다.		
show_non_following_mentions	Show non-following mentions in mentions	Montrer les mentions des non-abonnés dans les mentions	Toon antwoorden die je niet volgt in antwoorden	Vis mentions fra folk du ikke følger i dine mentions	Mostrar menciones de gente que no sigues en menciones	Показувати згадки незнайомих людей у ​​згадках	Показывать упоминания незнакомых людей в упоминаниях	Zeige Erwähnungen von nicht-gefolgten in den Erwähnungen	관련 없는 멘션 보이기 (멘션)		
show_non_following_mentions_desc	Show posts mentioning users you don\'t follow in the mentions tab	Montrer les posts mentionnant les utilisateurs que vous ne suivez pas dans l\'onglet des mentions	Toon antwoorden gericht aan gebruikers die je niet volgt in het antwoorden tabblad	Vis posts omhandlende brugere du ikke følger i din mentions tab	Mostrar posts que mencionan a usuarios que no sigues en la pestaña de menciones	Показувати записи, в яких згадуються люди, на яких ви не підписані, у вкладці "Згадки"	Показывать записи с упоминаниями людей, на которых вы не подписаны, во вкладке «Упоминания»	Zeige Beiträge, die Benutzer erwähnen, denen du nicht folgst in deinen Erwähnungen	내가 팔로우하지 않은 사람을 멘션하는 글도 멘션 탭에 보여줍니다.		
show_reposters	Show reposters	Afficher les reposts	Toon reposters	Vis reposters	Mostrar quién reenvía	Показати тих, хто поділився записом	Показать тех, кто поделился записью	Zeige Reposter	리포스트한 사람 보이기		
show_reposts_stars	Show reposts/stars	Afficher les reposts/favoris	Toon reposts/markeringen	Vis reposts/stars	Mostrar reenvíos/destacados	Показувати репости та обране	Показать репосты и избранное	Zeige Reposts/Sterne	리포스트/별표 보이기		
show_starred_by	Show starred by	Afficher les favoris	Toon markeringen door	Vis starred af	Mostrar quién destaca	Показати тих, хто додав запис в обране	Показать тех, кто добавил запись в избранное	Zeige von wem die Sterne sind	다음 사용자가 별표한 글 보이기:		
show_timeline_cover	Show timeline cover	Afficher la couverture dans la timeline	Toon tijdlijn cover	Vis timeline cover	Mostrar portada en el timeline	Показувати обкладинку стрічки	Показывать обложку ленты	Timeline Cover anzeigen	타임라인에서 자신의 커버 사진 보이기		
single_click_hashtag	Hashtags	Hashtags	Hashtags	Hashtags	Hashtags	Хэштеги	Хэштеги	Hashtags	해시태그		
single_click_link_desc	Make links clickable in timeline streams	Rendre les liens cliquables dans la timeline	Maak links klikbaar in tijdlijd streams	Gør det muligt at klikke på links i timeline streams	Se puede hacer clic en los enlaces del timeline	Зробити натискаємі посилання в стрічках	Сделать нажимаемыми ссылки в лентах	Links klickbar machen in Timelines	글흐름에서 링크를 바로 누를 수 있게끔 합니다.		
single_click_link_title	Single click links	Liens cliquables	Enkele klik links	Enkelt klik links	Enlaces de un solo clic	Посилання, доступні в одне натискання	Ссылки, доступные в одно нажатие	Links einmal anklicken	링크를 한큐에		
single_click_mention	\@mentions	\@mentions	\@vermeldingen	\@mentions	\@menciones	\@згадки	\@упоминания	\@Erwähnungen	\@멘션		
single_click_url	Urls	URLs	URLs	URLs	Urls	Посилання	Ссылки	URLs	URL		
small	Small	Petit	Klein	Lille	Pequeño	Маленький	Маленький	Klein	작게		
splash_login	LOGIN	CONNEXION	INLOGGEN	LOG IND	ENTRAR	Вхід	Вход	ANMELDEN	로그인	KIRJAUDU SISÄÄN	
splash_login_desc	Login to your account	Connectez-vous à votre compte	Login op je account	Log ind til din konto	Entrar a tu cuenta	Увійти в обліковий запис	Войти в учетную запись	Anmeldung zu deinem Benutzerkonto	내 계정으로 로그인	Kirjaudu sisään tilillesi	
splash_signup	SIGNUP	INSCRIPTION	INSCHRIJVEN	REGISTRÉR	REGISTRO	Реєстрація	Регистрация	REGISTRIEREN	등록하기		
splash_signup_desc	Create an account	Créez un compte	Maak een account	Opret en konto	Crea una cuenta	Створити обліковий запис	Создать учетную запись	Konto erstellen	계정 만들기	Luo tili	
star_failure	Failed to star post	Erreur lors de l\'ajout aux favoris	Gefaald om een post te markeren	Star af post mislykkedes	Fallo al destacar el post	Помилка додавання в обране	Ошибка добавления в избранное	Konnte Beitrag nicht markieren	별표하기 실패		
star_post	Star/unstar	Ajouter/enlever des favoris	Markeer/verwijder markering	Star/unstar	Destacar/no destacar	Додати/прибрати з обраного	Добавить/убрать из избранного	Markieren/Markierung entfernen	별표/별표취소		
starred	Starred	Favoris	Gemarkeerd	Starred	Destacado	Вибране	Избранное	Markiert	별표		
starred_by	Starred by	Favoris par	Gemarkeerd door	Starred af	Destacado por	В обраному у	В избранном у	Markiert durch	이 사용자에 의해 별표됨		
starred_posts	Starred Posts	Posts favoris	Gemarkeerde Posts	Starred Posts	Posts destacados	Вибрані записи	Избранные записи	Markierte Beiträge	별표된 글		
stars	Stars:	Favoris:	Markeer:	Stars:	Destacados	В обраному:	В избранном:	Sterne:	별표:		
stream	Stream	Flux	Stream	Stream	Stream	Стрічка	Лента	Nachrichtenstrom	글흐름		
stream_desc	Ability to read your stream	Capacité de lire votre flux	Mogelijkheid om je stream te lezen	Mulighed for at læse dit stream	Lee tu stream	Можливість читання вашої стрічки	Возможность чтения вашей ленты	Möglichkeit, deinen Stream zu lesen	내 글흐름을 읽을 권한		
stream_fail	Failed to get stream	Erreur lors du chargement du flux	Gefaald om stream op te halen	Hentning af stream mislykkedes	No se pudo obtener el stream	Помилка при завантаженні стрічки	Ошибка при загрузке ленты	Konnte Stream nicht erreichen	망했어요. 글흐름을 끌어오지 못했어요.		
